name_en,name_local,svg_id,year,population,area_km2,value
Sverdlovsk Oblast,Свердловская область,RU-SVE,2023,4221452,194307,11482.38
Tatarstan,Татарстан,RU-TA,2023,4003016,67847,13443.63
Tambov Oblast,Тамбовская область,RU-TAM,2023,956292,34300,5820.25
Tomsk Oblast,Томская область,RU-TOM,2023,1039728,316900,9147.86
Tula Oblast,Тульская область,RU-TUL,2023,1471140,25700,8013.71
Tver Oblast,Тверская область,RU-TVE,2023,1190574,84100,6203.67
Tuva,Тыва,RU-TY,2023,338483,170500,3746.63
Tyumen Oblast,Тюменская область,RU-TYU,2023,3890800,1464200,5848.83
Udmurtia,Удмуртия,RU-UD,2023,1493356,42100,7595.7
Ulyanovsk Oblast,Ульяновская область,RU-ULY,2023,1172782,37300,5897.28
Volgograd Oblast,Волгоградская область,RU-VGG,2023,2434046,113900,4939.98
Vladimir Oblast,Владимирская область,RU-VLA,2023,1309942,29000,6991.92
Vologda Oblast,Вологодская область,RU-VLG,2023,1160445,145700,10361.66
Voronezh Oblast,Воронежская область,RU-VOR,2023,2260045,52400,7762.25
Yamalo-Nenets Autonomous Okrug,Ямало-Ненецкий автономный округ,RU-YAN,2023,515960,683976,122416.4
Yaroslavl Oblast,Ярославская область,RU-YAR,2023,1187558,36400,7396.07
Jewish Autonomous Oblast,Еврейская автономная область,RU-YEV,2023,144428,36271,6585.48
Zabaykalsky Krai,Забайкальский край,RU-ZAB,2023,984395,431500,6524.87
